clean,corrupt,predict,corrupt_labels
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Rome, then Guam corresponds to",Hagåtña,Rome
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Kingston, then Guam corresponds to",Hagåtña,Kingston
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Tokyo, then Guam corresponds to",Hagåtña,Tokyo
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Amman, then Guam corresponds to",Hagåtña,Amman
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Astana, then Guam corresponds to",Hagåtña,Astana
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Riga, then Guam corresponds to",Hagåtña,Riga
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Malé, then Guam corresponds to",Hagåtña,Malé
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Monaco, then Guam corresponds to",Hagåtña,Monaco
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Maputo, then Guam corresponds to",Hagåtña,Maputo
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Yaren, then Guam corresponds to",Hagåtña,Yaren
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Amsterdam, then Guam corresponds to",Hagåtña,Amsterdam
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Managua, then Guam corresponds to",Hagåtña,Managua
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Oslo, then Guam corresponds to",Hagåtña,Oslo
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Muscat, then Guam corresponds to",Hagåtña,Muscat
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Islamabad, then Guam corresponds to",Hagåtña,Islamabad
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Jerusalem, then Guam corresponds to",Hagåtña,Jerusalem
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Lima, then Guam corresponds to",Hagåtña,Lima
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Manila, then Guam corresponds to",Hagåtña,Manila
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Doha, then Guam corresponds to",Hagåtña,Doha
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Moscow, then Guam corresponds to",Hagåtña,Moscow
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Apia, then Guam corresponds to",Hagåtña,Apia
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Edinburgh, then Guam corresponds to",Hagåtña,Edinburgh
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Belgrade, then Guam corresponds to",Hagåtña,Belgrade
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Victoria, then Guam corresponds to",Hagåtña,Victoria
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Singapore, then Guam corresponds to",Hagåtña,Singapore
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Madrid, then Guam corresponds to",Hagåtña,Madrid
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Stockholm, then Guam corresponds to",Hagåtña,Stockholm
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Damascus, then Guam corresponds to",Hagåtña,Damascus
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Kyiv, then Guam corresponds to",Hagåtña,Kyiv
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Hanoi, then Guam corresponds to",Hagåtña,Hanoi
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Cardiff, then Guam corresponds to",Hagåtña,Cardiff
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Harare, then Guam corresponds to",Hagåtña,Harare
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Algiers, then Armenia corresponds to",Yerevan,Algiers
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Yerevan, then Armenia corresponds to",Yerevan,Yerevan
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Canberra, then Armenia corresponds to",Yerevan,Canberra
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Nassau, then Armenia corresponds to",Yerevan,Nassau
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Dhaka, then Armenia corresponds to",Yerevan,Dhaka
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Minsk, then Armenia corresponds to",Yerevan,Minsk
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Belmopan, then Armenia corresponds to",Yerevan,Belmopan
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Gaborone, then Armenia corresponds to",Yerevan,Gaborone
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Sofia, then Armenia corresponds to",Yerevan,Sofia
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Yaoundé, then Armenia corresponds to",Yerevan,Yaoundé
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Zagreb, then Armenia corresponds to",Yerevan,Zagreb
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Havana, then Armenia corresponds to",Yerevan,Havana
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Quito, then Armenia corresponds to",Yerevan,Quito
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Asmara, then Armenia corresponds to",Yerevan,Asmara
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tallinn, then Armenia corresponds to",Yerevan,Tallinn
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Helsinki, then Armenia corresponds to",Yerevan,Helsinki
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Libreville, then Armenia corresponds to",Yerevan,Libreville
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Banjul, then Armenia corresponds to",Yerevan,Banjul
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tbilisi, then Armenia corresponds to",Yerevan,Tbilisi
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Gibraltar, then Armenia corresponds to",Yerevan,Gibraltar
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Conakry, then Armenia corresponds to",Yerevan,Conakry
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Jakarta, then Armenia corresponds to",Yerevan,Jakarta
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tehran, then Armenia corresponds to",Yerevan,Tehran
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Nairobi, then Armenia corresponds to",Yerevan,Nairobi
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tarawa, then Armenia corresponds to",Yerevan,Tarawa
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Pristina, then Armenia corresponds to",Yerevan,Pristina
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Vientiane, then Armenia corresponds to",Yerevan,Vientiane
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Beirut, then Armenia corresponds to",Yerevan,Beirut
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Maseru, then Armenia corresponds to",Yerevan,Maseru
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Monrovia, then Armenia corresponds to",Yerevan,Monrovia
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tripoli, then Armenia corresponds to",Yerevan,Tripoli
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Vaduz, then Armenia corresponds to",Yerevan,Vaduz
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Skopje, then Armenia corresponds to",Yerevan,Skopje
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Bamako, then Armenia corresponds to",Yerevan,Bamako
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Valletta, then Armenia corresponds to",Yerevan,Valletta
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Podgorica, then Armenia corresponds to",Yerevan,Podgorica
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Plymouth, then Armenia corresponds to",Yerevan,Plymouth
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Rabat, then Armenia corresponds to",Yerevan,Rabat
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Windhoek, then Armenia corresponds to",Yerevan,Windhoek
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Niamey, then Armenia corresponds to",Yerevan,Niamey
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Abuja, then Armenia corresponds to",Yerevan,Abuja
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Alofi, then Armenia corresponds to",Yerevan,Alofi
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Asunción, then Armenia corresponds to",Yerevan,Asunción
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Warsaw, then Armenia corresponds to",Yerevan,Warsaw
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Lisbon, then Armenia corresponds to",Yerevan,Lisbon
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Bucharest, then Armenia corresponds to",Yerevan,Bucharest
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Kigali, then Armenia corresponds to",Yerevan,Kigali
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Dakar, then Armenia corresponds to",Yerevan,Dakar
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Hargeisa, then Armenia corresponds to",Yerevan,Hargeisa
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Paramaribo, then Armenia corresponds to",Yerevan,Paramaribo
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Dodoma, then Armenia corresponds to",Yerevan,Dodoma
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Bangkok, then Armenia corresponds to",Yerevan,Bangkok
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Lomé, then Armenia corresponds to",Yerevan,Lomé
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Tunis, then Armenia corresponds to",Yerevan,Tunis
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Ankara, then Armenia corresponds to",Yerevan,Ankara
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Funafuti, then Armenia corresponds to",Yerevan,Funafuti
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Kampala, then Armenia corresponds to",Yerevan,Kampala
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Montevideo, then Armenia corresponds to",Yerevan,Montevideo
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Caracas, then Armenia corresponds to",Yerevan,Caracas
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Sanaá, then Armenia corresponds to",Yerevan,Sanaá
"If Albania corresponds to Tirana, then Armenia corresponds to","If Albania corresponds to Lusaka, then Armenia corresponds to",Yerevan,Lusaka
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tirana, then Somalia corresponds to",Mogadishu,Tirana
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Yerevan, then Somalia corresponds to",Mogadishu,Yerevan
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Canberra, then Somalia corresponds to",Mogadishu,Canberra
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Nassau, then Somalia corresponds to",Mogadishu,Nassau
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Dhaka, then Somalia corresponds to",Mogadishu,Dhaka
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Minsk, then Somalia corresponds to",Mogadishu,Minsk
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Belmopan, then Somalia corresponds to",Mogadishu,Belmopan
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Gaborone, then Somalia corresponds to",Mogadishu,Gaborone
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Sofia, then Somalia corresponds to",Mogadishu,Sofia
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Yaoundé, then Somalia corresponds to",Mogadishu,Yaoundé
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Zagreb, then Somalia corresponds to",Mogadishu,Zagreb
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Havana, then Somalia corresponds to",Mogadishu,Havana
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Quito, then Somalia corresponds to",Mogadishu,Quito
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Asmara, then Somalia corresponds to",Mogadishu,Asmara
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tallinn, then Somalia corresponds to",Mogadishu,Tallinn
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Helsinki, then Somalia corresponds to",Mogadishu,Helsinki
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Libreville, then Somalia corresponds to",Mogadishu,Libreville
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Banjul, then Somalia corresponds to",Mogadishu,Banjul
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tbilisi, then Somalia corresponds to",Mogadishu,Tbilisi
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Gibraltar, then Somalia corresponds to",Mogadishu,Gibraltar
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Conakry, then Somalia corresponds to",Mogadishu,Conakry
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Jakarta, then Somalia corresponds to",Mogadishu,Jakarta
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tehran, then Somalia corresponds to",Mogadishu,Tehran
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Nairobi, then Somalia corresponds to",Mogadishu,Nairobi
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tarawa, then Somalia corresponds to",Mogadishu,Tarawa
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Pristina, then Somalia corresponds to",Mogadishu,Pristina
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Vientiane, then Somalia corresponds to",Mogadishu,Vientiane
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Beirut, then Somalia corresponds to",Mogadishu,Beirut
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Maseru, then Somalia corresponds to",Mogadishu,Maseru
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Monrovia, then Somalia corresponds to",Mogadishu,Monrovia
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tripoli, then Somalia corresponds to",Mogadishu,Tripoli
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Vaduz, then Somalia corresponds to",Mogadishu,Vaduz
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Skopje, then Somalia corresponds to",Mogadishu,Skopje
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Bamako, then Somalia corresponds to",Mogadishu,Bamako
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Valletta, then Somalia corresponds to",Mogadishu,Valletta
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Podgorica, then Somalia corresponds to",Mogadishu,Podgorica
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Plymouth, then Somalia corresponds to",Mogadishu,Plymouth
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Rabat, then Somalia corresponds to",Mogadishu,Rabat
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Windhoek, then Somalia corresponds to",Mogadishu,Windhoek
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Niamey, then Somalia corresponds to",Mogadishu,Niamey
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Abuja, then Somalia corresponds to",Mogadishu,Abuja
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Alofi, then Somalia corresponds to",Mogadishu,Alofi
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Asunción, then Somalia corresponds to",Mogadishu,Asunción
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Warsaw, then Somalia corresponds to",Mogadishu,Warsaw
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Lisbon, then Somalia corresponds to",Mogadishu,Lisbon
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Bucharest, then Somalia corresponds to",Mogadishu,Bucharest
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Kigali, then Somalia corresponds to",Mogadishu,Kigali
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Dakar, then Somalia corresponds to",Mogadishu,Dakar
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Hargeisa, then Somalia corresponds to",Mogadishu,Hargeisa
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Paramaribo, then Somalia corresponds to",Mogadishu,Paramaribo
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Dodoma, then Somalia corresponds to",Mogadishu,Dodoma
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Bangkok, then Somalia corresponds to",Mogadishu,Bangkok
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Lomé, then Somalia corresponds to",Mogadishu,Lomé
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Tunis, then Somalia corresponds to",Mogadishu,Tunis
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Ankara, then Somalia corresponds to",Mogadishu,Ankara
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Funafuti, then Somalia corresponds to",Mogadishu,Funafuti
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Kampala, then Somalia corresponds to",Mogadishu,Kampala
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Montevideo, then Somalia corresponds to",Mogadishu,Montevideo
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Caracas, then Somalia corresponds to",Mogadishu,Caracas
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Sanaá, then Somalia corresponds to",Mogadishu,Sanaá
"If Algeria corresponds to Algiers, then Somalia corresponds to","If Algeria corresponds to Lusaka, then Somalia corresponds to",Mogadishu,Lusaka
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Kabul, then Tunisia corresponds to",Tunis,Kabul
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Vienna, then Tunisia corresponds to",Tunis,Vienna
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Baku, then Tunisia corresponds to",Tunis,Baku
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Manama, then Tunisia corresponds to",Tunis,Manama
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Brussels, then Tunisia corresponds to",Tunis,Brussels
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Sucre, then Tunisia corresponds to",Tunis,Sucre
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Ottawa, then Tunisia corresponds to",Tunis,Ottawa
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Santiago, then Tunisia corresponds to",Tunis,Santiago
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Beijing, then Tunisia corresponds to",Tunis,Beijing
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Moroni, then Tunisia corresponds to",Tunis,Moroni
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Copenhagen, then Tunisia corresponds to",Tunis,Copenhagen
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Roseau, then Tunisia corresponds to",Tunis,Roseau
"If Angola corresponds to Luanda, then Tunisia corresponds to","If Angola corresponds to Cairo, then Tunisia corresponds to",Tunis,Cairo
