clean,corrupt,predict,corrupt_labels
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Nauru corresponds to",Chisinau,Yaren
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Nepal corresponds to",Chisinau,Kathmandu
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Netherlands corresponds to",Chisinau,Amsterdam
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Nicaragua corresponds to",Chisinau,Managua
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to",Chisinau,Abuja
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Paraguay corresponds to",Chisinau,Asunción
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Philippines corresponds to",Chisinau,Manila
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Rwanda corresponds to",Chisinau,Kigali
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Scotland corresponds to",Chisinau,Edinburgh
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Slovakia corresponds to",Chisinau,Bratislava
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Slovenia corresponds to",Chisinau,Ljubljana
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Somalia corresponds to",Chisinau,Mogadishu
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Suriname corresponds to",Chisinau,Paramaribo
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Tanzania corresponds to",Chisinau,Dodoma
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Tonga corresponds to",Chisinau,Nukuʻalofa
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Tunisia corresponds to",Chisinau,Tunis
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Turkmenistan corresponds to",Chisinau,Ashgabat
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Tuvalu corresponds to",Chisinau,Funafuti
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Uganda corresponds to",Chisinau,Kampala
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Uruguay corresponds to",Chisinau,Montevideo
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Venezuela corresponds to",Chisinau,Caracas
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Zambia corresponds to",Chisinau,Lusaka
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Albania corresponds to",Skopje,Tirana
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Algeria corresponds to",Skopje,Algiers
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Azerbaijan corresponds to",Skopje,Baku
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Bahamas corresponds to",Skopje,Nassau
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Bahrain corresponds to",Skopje,Manama
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Barbados corresponds to",Skopje,Bridgetown
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Bermuda corresponds to",Skopje,Hamilton
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Bolivia corresponds to",Skopje,Sucre
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Bulgaria corresponds to",Skopje,Sofia
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Burundi corresponds to",Skopje,Bujumbura
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Cameroon corresponds to",Skopje,Yaoundé
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Colombia corresponds to",Skopje,Bogotá
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Comoros corresponds to",Skopje,Moroni
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Croatia corresponds to",Skopje,Zagreb
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Dominica corresponds to",Skopje,Roseau
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Eritrea corresponds to",Skopje,Asmara
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Estonia corresponds to",Skopje,Tallinn
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Gambia corresponds to",Skopje,Banjul
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Gibraltar corresponds to",Skopje,Gibraltar
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Greece corresponds to",Skopje,Athens
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Honduras corresponds to",Skopje,Tegucigalpa
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Indonesia corresponds to",Skopje,Jakarta
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Iraq corresponds to",Skopje,Baghdad
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Jamaica corresponds to",Skopje,Kingston
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Kosovo corresponds to",Skopje,Pristina
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Lebanon corresponds to",Skopje,Beirut
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Lesotho corresponds to",Skopje,Maseru
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Liberia corresponds to",Skopje,Monrovia
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Liechtenstein corresponds to",Skopje,Vaduz
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Maldives corresponds to",Skopje,Malé
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Moldova corresponds to",Skopje,Chisinau
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Mongolia corresponds to",Skopje,Ulaanbaatar
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Nauru corresponds to",Skopje,Yaren
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Nepal corresponds to",Skopje,Kathmandu
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Netherlands corresponds to",Skopje,Amsterdam
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Nicaragua corresponds to",Skopje,Managua
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Nigeria corresponds to",Skopje,Abuja
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Paraguay corresponds to",Skopje,Asunción
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Philippines corresponds to",Skopje,Manila
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Rwanda corresponds to",Skopje,Kigali
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Scotland corresponds to",Skopje,Edinburgh
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Slovakia corresponds to",Skopje,Bratislava
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Slovenia corresponds to",Skopje,Ljubljana
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Somalia corresponds to",Skopje,Mogadishu
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Suriname corresponds to",Skopje,Paramaribo
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Tanzania corresponds to",Skopje,Dodoma
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Tonga corresponds to",Skopje,Nukuʻalofa
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Tunisia corresponds to",Skopje,Tunis
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Turkmenistan corresponds to",Skopje,Ashgabat
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Tuvalu corresponds to",Skopje,Funafuti
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Uganda corresponds to",Skopje,Kampala
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Uruguay corresponds to",Skopje,Montevideo
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Venezuela corresponds to",Skopje,Caracas
"If Afghanistan corresponds to Kabul, then Macedonia corresponds to","If Afghanistan corresponds to Kabul, then Zambia corresponds to",Skopje,Lusaka
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Angola corresponds to",Cardiff,Luanda
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Armenia corresponds to",Cardiff,Yerevan
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Aruba corresponds to",Cardiff,Oranjestad
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Austria corresponds to",Cardiff,Vienna
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Belarus corresponds to",Cardiff,Minsk
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Belgium corresponds to",Cardiff,Brussels
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Belize corresponds to",Cardiff,Belmopan
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Chile corresponds to",Cardiff,Santiago
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Cuba corresponds to",Cardiff,Havana
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Denmark corresponds to",Cardiff,Copenhagen
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Ecuador corresponds to",Cardiff,Quito
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Egypt corresponds to",Cardiff,Cairo
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Fiji corresponds to",Cardiff,Suva
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Finland corresponds to",Cardiff,Helsinki
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Gabon corresponds to",Cardiff,Libreville
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Georgia corresponds to",Cardiff,Tbilisi
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Ghana corresponds to",Cardiff,Accra
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Greenland corresponds to",Cardiff,Nuuk
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Guam corresponds to",Cardiff,Hagåtña
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Guinea corresponds to",Cardiff,Conakry
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Guyana corresponds to",Cardiff,Georgetown
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Hungary corresponds to",Cardiff,Budapest
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Iceland corresponds to",Cardiff,Reykjavík
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Ireland corresponds to",Cardiff,Dublin
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Italy corresponds to",Cardiff,Rome
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Kenya corresponds to",Cardiff,Nairobi
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Laos corresponds to",Cardiff,Vientiane
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Latvia corresponds to",Cardiff,Riga
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Libya corresponds to",Cardiff,Tripoli
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Malawi corresponds to",Cardiff,Lilongwe
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Mali corresponds to",Cardiff,Bamako
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Malta corresponds to",Cardiff,Valletta
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Monaco corresponds to",Cardiff,Monaco
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Morocco corresponds to",Cardiff,Rabat
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Myanmar corresponds to",Cardiff,Naypyidaw
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Niger corresponds to",Cardiff,Niamey
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Niue corresponds to",Cardiff,Alofi
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Norway corresponds to",Cardiff,Oslo
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Oman corresponds to",Cardiff,Muscat
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Pakistan corresponds to",Cardiff,Islamabad
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Palau corresponds to",Cardiff,Ngerulmud
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Palestine corresponds to",Cardiff,Jerusalem
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Peru corresponds to",Cardiff,Lima
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Poland corresponds to",Cardiff,Warsaw
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Portugal corresponds to",Cardiff,Lisbon
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Qatar corresponds to",Cardiff,Doha
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Romania corresponds to",Cardiff,Bucharest
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Samoa corresponds to",Cardiff,Apia
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Senegal corresponds to",Cardiff,Dakar
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Serbia corresponds to",Cardiff,Belgrade
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Singapore corresponds to",Cardiff,Singapore
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Sudan corresponds to",Cardiff,Khartoum
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Sweden corresponds to",Cardiff,Stockholm
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Switzerland corresponds to",Cardiff,Bern
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Syria corresponds to",Cardiff,Damascus
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Thailand corresponds to",Cardiff,Bangkok
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Togo corresponds to",Cardiff,Lomé
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Turkey corresponds to",Cardiff,Ankara
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Ukraine corresponds to",Cardiff,Kyiv
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Vietnam corresponds to",Cardiff,Hanoi
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Yemen corresponds to",Cardiff,Sanaá
"If Albania corresponds to Tirana, then Wales corresponds to","If Albania corresponds to Tirana, then Zimbabwe corresponds to",Cardiff,Harare
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Angola corresponds to",Accra,Luanda
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Armenia corresponds to",Accra,Yerevan
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Aruba corresponds to",Accra,Oranjestad
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Austria corresponds to",Accra,Vienna
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Belarus corresponds to",Accra,Minsk
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Belgium corresponds to",Accra,Brussels
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Belize corresponds to",Accra,Belmopan
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Chile corresponds to",Accra,Santiago
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Cuba corresponds to",Accra,Havana
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Denmark corresponds to",Accra,Copenhagen
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Ecuador corresponds to",Accra,Quito
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Egypt corresponds to",Accra,Cairo
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Fiji corresponds to",Accra,Suva
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Finland corresponds to",Accra,Helsinki
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Gabon corresponds to",Accra,Libreville
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Georgia corresponds to",Accra,Tbilisi
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Greenland corresponds to",Accra,Nuuk
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Guam corresponds to",Accra,Hagåtña
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Guinea corresponds to",Accra,Conakry
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Guyana corresponds to",Accra,Georgetown
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Hungary corresponds to",Accra,Budapest
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Iceland corresponds to",Accra,Reykjavík
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Ireland corresponds to",Accra,Dublin
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Italy corresponds to",Accra,Rome
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Kenya corresponds to",Accra,Nairobi
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Laos corresponds to",Accra,Vientiane
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Latvia corresponds to",Accra,Riga
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Libya corresponds to",Accra,Tripoli
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Malawi corresponds to",Accra,Lilongwe
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Mali corresponds to",Accra,Bamako
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Malta corresponds to",Accra,Valletta
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Monaco corresponds to",Accra,Monaco
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Morocco corresponds to",Accra,Rabat
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Myanmar corresponds to",Accra,Naypyidaw
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Niger corresponds to",Accra,Niamey
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Niue corresponds to",Accra,Alofi
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Norway corresponds to",Accra,Oslo
"If Algeria corresponds to Algiers, then Ghana corresponds to","If Algeria corresponds to Algiers, then Oman corresponds to",Accra,Muscat
